title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Deranged: Confessions of a Necrophile,Drama- Horror- Thriller,JeffGillen,AlanOrmsby,RobertsBlossom,CosetteLee,LeslieCarlson,RobertWarner,.,6.5,4072,1974
Thieves Like Us,Crime- Drama- Romance,RobertAltman,.,KeithCarradine,ShelleyDuvall,JohnSchuck,BertRemsen,.,7,3908,1974
Dead of Night,Drama- Horror- Thriller,BobClark,.,JohnMarley,LynnCarlin,RichardBackus,HendersonForsythe,.,6.7,3883,1974
Rabid Dogs,Crime- Drama- Thriller,MarioBava,.,LeaLander,GeorgeEastman,RiccardoCucciolla,DonBacky,.,7.5,3796,1974
Captain Kronos - Vampire Hunter,Adventure- Horror- Mystery,BrianClemens,.,HorstJanson,JohnCarson,ShaneBriant,CarolineMunro,.,6.5,3717,1974
Flesh Gordon,Comedy- Sci-Fi,MichaelBenveniste,HowardZiehm,JasonWilliams,SuzanneFields,JosephHudgins,WilliamDennisHunt,.,4.7,3614,1974
The Gambler,Crime- Drama,KarelReisz,.,JamesCaan,PaulSorvino,LaurenHutton,MorrisCarnovsky,.,7.2,3558,1974
Turn the Other Cheek,Action- Adventure- Comedy,FrancoRossi,.,TerenceHill,BudSpencer,Jean-PierreAumont,RobertLoggia,.,6.5,3551,1974
Conversation Piece,Drama- Romance,LuchinoVisconti,.,BurtLancaster,HelmutBerger,SilvanaMangano,ClaudiaMarsani,.,7.5,3505,1974
The Legend of the 7 Golden Vampires,Action- Horror,RoyWardBaker,ChehChang,PeterCushing,DavidChiang,JulieEge,HanChenWang,.,5.9,3430,1974
Scent of a Woman,Comedy- Drama,DinoRisi,.,VittorioGassman,AlessandroMomo,AgostinaBelli,MoiraOrfei,.,7.7,3397,1974
From Beyond the Grave,Fantasy- Horror,KevinConnor,.,PeterCushing,IanBannen,IanCarmichael,DianaDors,.,6.7,3306,1974
